ZIPCODE,Green_%age,2021_Employment_Rate,2019_Pop_3+_in_Nursery/Presch,pop15_marital_status,pop25_att_Bachelors,2021_Median_Home_Value,2021_Income,commute_rank,safety_rank
10001,0.011399073,0.917,0.0074,0.32,0.42,0.472468264,0.521412393,0.927777778,0.044444444
10002,0.177065689,0.884,0.0104,0.39,0.24,0.416538792,0.189844051,0.822222222,0.355555556
10003,0.03907648,0.929,0.0079,0.28,0.44,0.676660662,0.605686972,0.955555556,0.188888889
10004,0.074974507,0.96,0.0182,0.4,0.48,0.681547159,0.880600597,0.916666667,0.022222222
10005,0.002951553,0.962,0.0118,0.33,0.52,0.804326598,0.84791076,0.972222222,0.033333333
10006,0.001282145,0.962,0.0025,0.39,0.43,0.591867204,0.86400068,0.905555556,0.011111111
10007,0.094746718,0.976,0.0466,0.56,0.47,1,1,0.966666667,0.038888889
10009,0.064173132,0.927,0.0091,0.29,0.38,0.453646273,0.365593172,0.694444444,0.655555556
10010,0.053523174,0.935,0.0185,0.37,0.42,0.552636724,0.645241774,0.9,0.172222222
10011,0.034525808,0.932,0.0101,0.32,0.41,0.73989613,0.693561532,0.988888889,0.094444444
10012,0.02526717,0.945,0.0071,0.34,0.44,1,0.57408213,0.983333333,0.055555556
10013,0.032213264,0.937,0.0284,0.48,0.4,1,0.649751751,0.911111111,0.061111111
10014,0.024156533,0.925,0.0149,0.31,0.45,0.707491646,0.697826511,0.95,0.166666667
10016,0.021075246,0.938,0.0085,0.32,0.44,0.58067421,0.620701896,0.994444444,0.225
10017,0.022915454,0.977,0.005,0.35,0.49,0.463229768,0.642916785,0.977777778,0.072222222
10018,0.039515746,0.938,0.0135,0.35,0.4,0.842465579,0.65198674,0.922222222,0.016666667
10019,0.021307796,0.925,0.0058,0.35,0.38,0.608550196,0.559667202,0.944444444,0.066666667
10021,0.008471654,0.974,0.0218,0.53,0.34,0.904290048,0.699311503,0.872222222,0.552777778
10022,0.017510265,0.958,0.0152,0.45,0.41,0.686001157,0.791551042,0.938888889,0.2
10023,0.085983595,0.944,0.0162,0.46,0.34,0.810530595,0.704261479,0.855555556,0.291666667
10024,0.399618878,0.951,0.0221,0.5,0.37,0.934342033,0.736656317,0.766666667,0.533333333
10025,0.049746935,0.897,0.0165,0.41,0.29,0.721384139,0.477322613,0.672222222,0.608333333
10026,0.152478817,0.887,0.0188,0.31,0.24,0.605056197,0.312173439,0.444444444,0.266666667
10027,0.092389571,0.908,0.0141,0.28,0.24,0.469123765,0.24990375,0.733333333,0.155555556
10028,0.068520767,0.955,0.0194,0.47,0.4,0.787803606,0.657081715,0.777777778,0.586111111
10029,0.07776842,0.832,0.0179,0.3,0.19,0.44080778,0.182794086,0.666666667,0.308333333
10030,0.02704122,0.791,0.0133,0.27,0.19,0.413183293,0.205468973,0.383333333,0.194444444
10031,0.099014106,0.883,0.0095,0.33,0.23,0.35960882,0.258478708,0.2,0.291666667
10032,0.329942341,0.848,0.0104,0.31,0.2,0.369348815,0.243173784,0.544444444,0.233333333
10033,0.21591079,0.837,0.0154,0.39,0.24,0.371107314,0.310308448,0.194444444,0.25
10034,0.387278407,0.858,0.0133,0.37,0.21,0.293966853,0.284988575,0.188888889,0.308333333
10035,0.428730566,0.85,0.0125,0.26,0.16,0.444929778,0.1400493,0.538888889,0.105555556
10036,0.011090722,0.921,0.0055,0.28,0.4,0.556221722,0.492817536,0.883333333,0.1
10037,0.13439387,0.837,0.0302,0.26,0.22,0.598610701,0.215878921,0.438888889,0.319444444
10038,0.035920986,0.923,0.0146,0.35,0.4,0.550527225,0.575502122,0.894444444,0.144444444
10039,0.166125003,0.795,0.0283,0.27,0.21,0.28074286,0.215028925,0.261111111,0.266666667
10040,0.407444037,0.844,0.011,0.37,0.23,0.273198363,0.239568802,0.588888889,0.552777778
10065,0.026509803,0.961,0.0213,0.49,0.4,0.945312027,0.728976355,0.933333333,0.225
10069,0.232661385,0.942,0.024,0.49,0.41,0.898648051,0.728446358,0.377777778,0.569444444
10075,0.047202061,0.938,0.0146,0.45,0.38,0.611530694,0.621476893,0.833333333,0.725
10128,0.047100824,0.944,0.0154,0.48,0.38,0.735926132,0.602131989,0.583333333,0.586111111
10280,0.219769118,0.926,0.0183,0.59,0.42,0.701547649,0.994715026,0.888888889,0.136111111
10281,0.108354275,0.939,0,0.5,0.4,0,1,1,0.177777778
10282,0.347347364,0.955,0.0416,0.61,0.39,1,1,0.877777778,0.136111111
10301,0.29507393,0.914,0.0128,0.44,0.21,0.32014784,0.342508287,0.788888889,0.627777778
10302,0.025211025,0.919,0.0161,0.47,0.2,0.216158892,0.351743241,0.866666667,0.552777778
10303,0.068392057,0.93,0.0133,0.47,0.19,0.185945407,0.34805326,0.85,0.552777778
10304,0.054552222,0.901,0.0114,0.46,0.19,0.295802852,0.304118479,0.727777778,0.672222222
10305,0.157838482,0.892,0.0186,0.55,0.22,0.290154855,0.404772976,0.722222222,0.877777778
10306,0.107026075,0.908,0.0127,0.55,0.19,0.306643847,0.440307798,0.75,0.919444444
10308,0.049698385,0.898,0.0189,0.58,0.24,0.298561851,0.522822386,0.661111111,0.983333333
10310,0.128272013,0.884,0.0194,0.5,0.2,0.292123354,0.383368083,0.844444444,0.775
10312,0.185414296,0.916,0.0151,0.6,0.22,0.302766349,0.52800736,0.716666667,0.952777778
10314,0.276465107,0.914,0.0181,0.57,0.22,0.302919849,0.494977525,0.827777778,0.830555556
10451,0.136728276,0.848,0.0147,0.33,0.15,0.110067445,0.147234264,0.627777778,0.116666667
10452,0.104198684,0.848,0.0184,0.35,0.12,0.161971919,0.147294264,0.372222222,0.375
10453,0.038759392,0.84,0.0204,0.35,0.11,0.270719865,0.139159304,0.488888889,0.375
10454,0.080463846,0.826,0.021,0.3,0.08,0.233705883,0.104314478,0.533333333,0.155555556
10455,0.02237659,0.824,0.0192,0.3,0.1,0.248497376,0.137729311,0.255555556,0.111111111
10456,0.067674124,0.826,0.0196,0.34,0.11,0.206902397,0.144439278,0.433333333,0.333333333
10457,0.233390189,0.807,0.0216,0.36,0.1,0.237806881,0.144989275,0.25,0.283333333
10458,0.241026947,0.825,0.0191,0.33,0.11,0.242554879,0.18394908,0.427777778,0.363888889
10459,0.075181628,0.88,0.0206,0.31,0.12,0.23948438,0.138829306,0.527777778,0.155555556
10460,0.224219781,0.796,0.0167,0.36,0.11,0.251507374,0.142949285,0.483333333,0.244444444
10461,0.063177343,0.889,0.0172,0.44,0.19,0.269837365,0.302573487,0.772222222,0.513888889
10462,0.244940541,0.839,0.0128,0.41,0.18,0.214487393,0.275233624,0.183333333,0.641666667
10463,0.079035671,0.887,0.0159,0.43,0.21,0.227587386,0.313523432,0.366666667,0.672222222
10464,0.968587307,0.909,0.0007,0.47,0.22,0.315011342,0.502367488,0.783333333,0.755555556
10465,0.273050975,0.887,0.0213,0.43,0.15,0.278599361,0.398398008,0.805555556,0.711111111
10466,0.042369649,0.856,0.0174,0.39,0.16,0.250962875,0.282343588,0.622222222,0.472222222
10467,0.151374282,0.826,0.0188,0.37,0.14,0.235863882,0.199334003,0.361111111,0.4
10468,0.090959793,0.823,0.0183,0.39,0.11,0.170083415,0.193234034,0.244444444,0.363888889
10469,0.057010911,0.858,0.0139,0.41,0.17,0.26027337,0.325563372,0.577777778,0.586111111
10470,0.319509104,0.899,0.0237,0.4,0.21,0.263935868,0.323348383,0.522222222,0.394444444
10471,0.600629817,0.889,0.0195,0.43,0.26,0.282702859,0.450217749,0.572222222,0.755555556
10472,0.067797751,0.833,0.0216,0.37,0.11,0.270702865,0.172834136,0.238888889,0.447222222
10473,0.193181788,0.852,0.0271,0.33,0.14,0.231718384,0.226808866,0.477777778,0.327777778
10474,0.018808016,0.851,0.0231,0.28,0.11,0.242382879,0.123854381,0.688888889,0.05
10475,0.095713523,0.894,0.0175,0.34,0.19,0.021412489,0.280223599,0.233333333,0.183333333
11004,0.015527743,0.935,0.014,0.56,0.28,0.277839361,0.506802466,0.861111111,0.972222222
11005,0.026111935,1,0,0.42,0.25,0.504629248,0.325018375,0.816666667,1
11101,0.019062132,0.9,0.0124,0.43,0.27,0.464735768,0.509212454,0.516666667,0.088888889
11102,0.047066391,0.897,0.0184,0.39,0.36,0.406024797,0.36595817,0.005555556,0.497222222
11103,0.011480873,0.909,0.0105,0.41,0.35,0.448190776,0.40196299,0.133333333,0.533333333
11104,0.022877341,0.924,0.0097,0.45,0.31,0.372064314,0.346428268,0.038888889,0.725
11105,0.056290057,0.914,0.0128,0.43,0.34,0.443326278,0.432792836,0.177777778,0.697222222
11106,0.039151878,0.885,0.0126,0.42,0.34,0.348129326,0.359823201,0.127777778,0.447222222
11201,0.158241415,0.914,0.0222,0.45,0.35,0.576331212,0.741101294,0.711111111,0.127777778
11203,0.021887156,0.895,0.0118,0.39,0.17,0.273839363,0.289533552,0.033333333,0.383333333
11204,0.019837756,0.892,0.0229,0.58,0.2,0.484603758,0.279808601,0.655555556,0.861111111
11205,0.036835284,0.891,0.0297,0.36,0.28,0.427639786,0.329328353,0.616666667,0.344444444
11206,0.039502872,0.843,0.0238,0.33,0.24,0.424029288,0.216378918,0.472222222,0.319444444
11207,0.047397172,0.848,0.0164,0.31,0.13,0.297214351,0.212453938,0.027777778,0.213888889
11208,0.073757054,0.882,0.0212,0.39,0.11,0.292389854,0.236798816,0.011111111,0.266666667
11209,0.098070767,0.907,0.0164,0.51,0.3,0.455681772,0.407062965,0.355555556,0.816666667
11210,0.012653824,0.905,0.0165,0.46,0.23,0.375218812,0.371583142,0.422222222,0.608333333
11211,0.037710735,0.921,0.0258,0.39,0.36,0.572840714,0.41407793,0.65,0.472222222
11212,0.050956663,0.812,0.0187,0.27,0.12,0.246074377,0.146739266,0.072222222,0.213888889
11213,0.087953897,0.88,0.0231,0.32,0.2,0.477791761,0.237403813,0.35,0.344444444
11214,0.133787748,0.907,0.0147,0.55,0.23,0.431769284,0.309243454,0.416666667,0.805555556
11215,0.349169187,0.939,0.026,0.53,0.37,0.705123147,0.753211234,0.111111111,0.586111111
11216,0.047258297,0.885,0.0199,0.31,0.31,0.689030655,0.358583207,0.022222222,0.3
11217,0.023100553,0.921,0.0223,0.41,0.36,0.842315079,0.632956835,0.227777778,0.122222222
11218,0.023194143,0.917,0.0222,0.53,0.26,0.467282766,0.385283074,0.466666667,0.85
11219,0.007112756,0.912,0.0298,0.62,0.14,0.511468244,0.214893926,0.838888889,0.919444444
11220,0.063596099,0.896,0.0166,0.54,0.15,0.496726752,0.266548667,0.411111111,0.688888889
11221,0.0233371,0.837,0.0151,0.29,0.23,0.518286741,0.287853561,0.066666667,0.344444444
11222,0.045791955,0.929,0.0129,0.38,0.4,0.641105679,0.484337578,0.172222222,0.388888889
11223,0.024924998,0.88,0.0241,0.56,0.22,0.44039578,0.287393563,0.344444444,0.8
11224,0.240925153,0.844,0.0147,0.43,0.22,0.246203877,0.187344063,0.405555556,0.513888889
11225,0.023975467,0.854,0.0102,0.34,0.26,0.533640233,0.314748426,0.061111111,0.497222222
11226,0.059753456,0.883,0.0163,0.36,0.21,0.371679314,0.297283514,0.055555556,0.433333333
11228,0.380342488,0.895,0.0167,0.58,0.24,0.470228265,0.396653017,0.644444444,0.919444444
11229,0.064278928,0.895,0.0145,0.55,0.24,0.356312322,0.340938295,0.338888889,0.816666667
11230,0.025364755,0.906,0.0225,0.55,0.25,0.461262269,0.279433603,0.683333333,0.861111111
11231,0.084346133,0.897,0.0357,0.5,0.33,0.823617588,0.63394183,0.333333333,0.266666667
11232,0.024051107,0.899,0.0148,0.44,0.21,0.442555779,0.31594342,0.294444444,0.513888889
11233,0.045926411,0.884,0.0262,0.28,0.19,0.455377772,0.226528867,0.122222222,0.205555556
11234,0.217905666,0.881,0.0178,0.51,0.23,0.32072334,0.459752701,0.327777778,0.786111111
11235,0.10679211,0.904,0.0107,0.55,0.3,0.362105319,0.301118494,0.561111111,0.816666667
11236,0.13048806,0.901,0.0173,0.38,0.2,0.303946348,0.383898081,0.105555556,0.683333333
11237,0.023718409,0.867,0.0182,0.31,0.26,0.389325305,0.291128544,0.166666667,0.458333333
11238,0.134422745,0.909,0.0158,0.39,0.36,0.605198697,0.510117449,0.222222222,0.422222222
11239,0.119891258,0.881,0.0196,0.32,0.16,0.273856863,0.184249079,0.161111111,0.083333333
11249,0.06467075,0.924,0.0301,0.48,0.33,0.667867666,0.496592517,0.744444444,0.266666667
11354,0.043442075,0.925,0.0099,0.53,0.15,0.321186839,0.240433798,0.8,0.438888889
11355,0.122409108,0.934,0.0115,0.58,0.13,0.356705822,0.226263869,0.705555556,0.755555556
11356,0.054451052,0.925,0.0098,0.57,0.15,0.348675326,0.347318263,0.738888889,0.755555556
11357,0.02631087,0.913,0.0138,0.59,0.24,0.411057794,0.465222674,0.761111111,0.966666667
11358,0.005866266,0.927,0.0129,0.57,0.2,0.417657291,0.378408108,0.611111111,0.936111111
11360,0.355298353,0.928,0.0174,0.53,0.29,0.331512334,0.490552547,0.555555556,0.994444444
11361,0.111189994,0.914,0.0128,0.54,0.26,0.403191798,0.483887581,0.638888889,0.877777778
11362,0.328441069,0.915,0.0157,0.58,0.27,0.36077732,0.501882491,0.794444444,0.961111111
11363,0.153288828,0.935,0.0133,0.6,0.32,0.448068776,0.560642197,0.461111111,0.9
11364,0.318268734,0.926,0.0127,0.56,0.26,0.331332334,0.444557777,0.605555556,0.952777778
11365,0.243152184,0.87,0.0108,0.58,0.24,0.389908305,0.388718056,0.55,0.919444444
11366,0.02115435,0.87,0.0167,0.55,0.28,0.408811796,0.471332643,0.633333333,0.936111111
11367,0.142601793,0.911,0.0296,0.51,0.25,0.29948885,0.335323323,0.677777778,0.844444444
11368,0.310998563,0.918,0.0235,0.43,0.1,0.351843324,0.281298594,0.322222222,0.755555556
11369,0.032948562,0.902,0.0129,0.46,0.13,0.338316331,0.300943495,0.155555556,0.775
11370,0.020346011,0.916,0.0108,0.41,0.15,0.402086299,0.373108134,0.288888889,0.944444444
11372,0.017588499,0.929,0.0139,0.43,0.18,0.235536882,0.304643477,0.216666667,0.891666667
11373,0.019916405,0.921,0.0121,0.51,0.21,0.349510825,0.27802361,0.05,0.830555556
11374,0.0147714,0.918,0.0158,0.52,0.31,0.27920086,0.349363253,0.15,0.877777778
11375,0.054500682,0.936,0.0202,0.56,0.33,0.324795838,0.469632652,0.1,0.794444444
11377,0.01614953,0.931,0.0123,0.47,0.22,0.337639831,0.308648457,0.283333333,0.711111111
11378,0.013136425,0.916,0.0198,0.5,0.19,0.353379323,0.401602992,0.4,0.711111111
11379,0.048107697,0.906,0.0167,0.55,0.22,0.36003132,0.457492713,0.511111111,0.891666667
11385,0.220892808,0.918,0.0149,0.48,0.2,0.335033832,0.394903025,0.094444444,0.738888889
11411,0.055253778,0.904,0.0098,0.42,0.23,0.23980288,0.529722351,0.455555556,0.569444444
11412,0.005201405,0.862,0.0162,0.4,0.16,0.247600876,0.443237784,0.316666667,0.458333333
11413,0.151004461,0.889,0.0137,0.4,0.18,0.269839365,0.499862501,0.211111111,0.533333333
11414,0.065811443,0.891,0.0158,0.5,0.17,0.295615352,0.419572902,0.755555556,0.861111111
11415,0.05200718,0.937,0.0148,0.46,0.29,0.27941186,0.395878021,0.394444444,0.838888889
11416,0.014714876,0.882,0.0145,0.52,0.17,0.312266344,0.389668052,0.144444444,0.622222222
11417,0.04264733,0.872,0.0144,0.54,0.2,0.303070348,0.429562852,0.116666667,0.697222222
11418,0.00028643,0.9,0.011,0.5,0.2,0.314859343,0.378398108,0.311111111,0.641666667
11419,0.010600744,0.86,0.0107,0.51,0.17,0.305734347,0.386938065,0.138888889,0.488888889
11420,0.019922043,0.859,0.0095,0.49,0.16,0.302688349,0.408892956,0.305555556,0.641666667
11421,0.006351325,0.898,0.0139,0.49,0.19,0.296644352,0.404837976,0.044444444,0.608333333
11422,0.155394988,0.922,0.0155,0.41,0.18,0.273038363,0.497852511,0.205555556,0.672222222
11423,0.135955158,0.863,0.0139,0.47,0.23,0.311568344,0.384313078,0.505555556,0.513888889
11426,0.132732903,0.929,0.0184,0.6,0.22,0.306255847,0.529177354,0.811111111,0.977777778
11427,0.171465357,0.911,0.0132,0.55,0.23,0.301730349,0.426447868,0.6,0.786111111
11428,0.001539297,0.917,0.0189,0.56,0.16,0.285354357,0.438172809,0.388888889,0.733333333
11429,0.032133622,0.803,0.0117,0.41,0.19,0.245330877,0.476472618,0.277777778,0.408333333
11430,0.003996587,0.81,0,0.42,0.09,0.281249859,0.416662917,0.088888889,0.608333333
11432,0.035519075,0.875,0.0147,0.5,0.25,0.34030833,0.305233474,0.272222222,0.661111111
11433,0.040045961,0.777,0.0113,0.37,0.13,0.256749872,0.291308543,0.45,0.238888889
11434,0.11483905,0.884,0.0173,0.36,0.16,0.256135372,0.346843266,0.266666667,0.422222222
11435,0.019569078,0.838,0.0159,0.49,0.21,0.256479372,0.353318233,0.3,0.641666667
11436,0.030883436,0.853,0.0131,0.4,0.15,0.247914376,0.411877941,0.5,0.422222222
11691,0.188066377,0.869,0.0278,0.4,0.17,0.303052348,0.250993745,0.7,0.472222222
11692,0.150778208,0.816,0.0295,0.38,0.17,0.255352372,0.242188789,0.083333333,0.483333333
11693,0.068311315,0.901,0.0222,0.4,0.17,0.235192882,0.340733296,0.077777778,0.408333333
11694,0.075225138,0.909,0.023,0.48,0.25,0.393604803,0.459602702,0.494444444,0.905555556
11697,0.000174644,0.92,0.0316,0.64,0.29,0.322790339,0.563877181,0.594444444,0.988888889
